2025-09-30 00:22:26,274 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 1 of 3. Reason: timed out
2025-09-30 00:22:30,309 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 2 of 3. Reason: timed out
2025-09-30 00:22:35,190 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 3 of 3. Reason: timed out
2025-09-30 00:22:35,191 [WARNING] [_default] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/_default.py]: Authentication failed using Compute Engine authentication due to unavailable metadata server.
2025-09-30 00:22:35,192 [ERROR] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Error in segmentation evaluation: 
  No API_KEY or ADC found. Please either:
    - Set the `GOOGLE_API_KEY` environment variable.
    - Manually pass the key with `genai.configure(api_key=my_api_key)`.
    - Or set up Application Default Credentials, see https://ai.google.dev/gemini-api/docs/oauth for more information.
2025-09-30 10:53:57,703 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 1 of 3. Reason: timed out
2025-09-30 10:54:01,786 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 2 of 3. Reason: timed out
2025-09-30 10:54:06,674 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 3 of 3. Reason: timed out
2025-09-30 10:54:06,676 [WARNING] [_default] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/_default.py]: Authentication failed using Compute Engine authentication due to unavailable metadata server.
2025-09-30 10:54:06,676 [ERROR] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Error in segmentation evaluation: 
  No API_KEY or ADC found. Please either:
    - Set the `GOOGLE_API_KEY` environment variable.
    - Manually pass the key with `genai.configure(api_key=my_api_key)`.
    - Or set up Application Default Credentials, see https://ai.google.dev/gemini-api/docs/oauth for more information.
2025-09-30 11:31:49,555 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:32:20,690 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:32:52,339 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:33:26,911 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:33:57,356 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:34:29,164 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:35:03,540 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:35:36,030 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:36:02,762 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:36:40,607 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:37:20,608 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:37:46,604 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:38:22,304 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
